Topics,Alpha,Eta,Coherence
3,0.002,0.05,0.266257530479663
3,0.002,0.06,0.27624551509952855
3,0.002,0.07,0.2762455150995286
3,0.002,0.08,0.27624551509952855
3,0.002,0.09,0.2762455150995286
3,0.002,0.1,0.2762455150995286
3,0.003,0.01,0.259060223980564
3,0.003,0.02,0.259060223980564
3,0.003,0.03,0.26341421029302964
3,0.003,0.04,0.26341421029302964
3,0.003,0.05,0.266257530479663
3,0.003,0.06,0.27624551509952855
3,0.003,0.07,0.2762455150995286
3,0.003,0.08,0.27624551509952855
3,0.003,0.09,0.2762455150995286
3,0.003,0.1,0.2762455150995286
3,0.004,0.01,0.259060223980564
3,0.004,0.02,0.259060223980564
3,0.004,0.03,0.26341421029302964
3,0.004,0.04,0.26341421029302964
3,0.004,0.05,0.266257530479663
3,0.004,0.06,0.27624551509952855
3,0.004,0.07,0.2762455150995286
3,0.004,0.08,0.27624551509952855
3,0.004,0.09,0.2762455150995286
3,0.004,0.1,0.2762455150995286
3,0.005,0.01,0.259060223980564
3,0.005,0.02,0.259060223980564
3,0.005,0.03,0.26341421029302964
3,0.005,0.04,0.26341421029302964
3,0.005,0.05,0.266257530479663
3,0.005,0.06,0.27624551509952855
3,0.005,0.07,0.2762455150995286
3,0.005,0.08,0.27624551509952855
3,0.005,0.09,0.2762455150995286
3,0.005,0.1,0.2762455150995286
3,0.006,0.01,0.259060223980564
3,0.006,0.02,0.259060223980564
3,0.006,0.03,0.26341421029302964
3,0.006,0.04,0.26341421029302964
3,0.006,0.05,0.266257530479663
3,0.006,0.06,0.27624551509952855
3,0.006,0.07,0.2762455150995286
3,0.006,0.08,0.27624551509952855
3,0.006,0.09,0.2762455150995286
3,0.006,0.1,0.2762455150995286
3,0.007,0.01,0.259060223980564
3,0.007,0.02,0.259060223980564
3,0.007,0.03,0.26341421029302964
3,0.007,0.04,0.26341421029302964
3,0.007,0.05,0.266257530479663
3,0.007,0.06,0.27624551509952855
3,0.007,0.07,0.2762455150995286
3,0.007,0.08,0.27624551509952855
3,0.007,0.09,0.2762455150995286
3,0.007,0.1,0.2762455150995286
3,0.008,0.01,0.259060223980564
3,0.008,0.02,0.259060223980564
3,0.008,0.03,0.26341421029302964
3,0.008,0.04,0.26341421029302964
3,0.008,0.05,0.266257530479663
3,0.008,0.06,0.27624551509952855
3,0.008,0.07,0.2762455150995286
3,0.008,0.08,0.27624551509952855
3,0.008,0.09,0.2762455150995286
3,0.008,0.1,0.2762455150995286
3,0.009000000000000001,0.01,0.259060223980564
3,0.009000000000000001,0.02,0.259060223980564
3,0.009000000000000001,0.03,0.26341421029302964
3,0.009000000000000001,0.04,0.26341421029302964
3,0.009000000000000001,0.05,0.266257530479663
3,0.009000000000000001,0.06,0.27624551509952855
3,0.009000000000000001,0.07,0.2762455150995286
3,0.009000000000000001,0.08,0.27624551509952855
3,0.009000000000000001,0.09,0.2762455150995286
3,0.009000000000000001,0.1,0.2762455150995286
3,0.01,0.01,0.259060223980564
3,0.01,0.02,0.259060223980564
3,0.01,0.03,0.26341421029302964
3,0.01,0.04,0.26341421029302964
3,0.01,0.05,0.266257530479663
3,0.01,0.06,0.27624551509952855
3,0.01,0.07,0.2762455150995286
3,0.01,0.08,0.27624551509952855
3,0.01,0.09,0.2762455150995286
3,0.01,0.1,0.2762455150995286
4,0.001,0.01,0.3312679561973084
4,0.001,0.02,0.3312679561973084
4,0.001,0.03,0.3312679561973084
4,0.001,0.04,0.3312679561973084
4,0.001,0.05,0.3312679561973084
4,0.001,0.06,0.3312679561973084
4,0.001,0.07,0.3312679561973084
